bodega,plan,producto,unidades_max_real
1,1,N_ALDEA_BKP,189
1,1,N_ALDEA_EKP,194
1,2,N_ALDEA_BKP,189
1,2,N_ALDEA_EKP,194
1,3,N_ALDEA_BKP,189
1,3,N_ALDEA_EKP,194
1,4,N_ALDEA_BKP,189
1,4,N_ALDEA_EKP,194
1,5,N_ALDEA_EKP,194
1,6,N_ALDEA_EKP,194
2,1,ARAUCO_BKP,388
2,3,ARAUCO_EKP,383
2,4,ARAUCO_EKP,383
2,5,ARAUCO_EKP,383
2,6,ARAUCO_EKP,395
2,7,ARAUCO_BKP,388
2,8,ARAUCO_BKP,388
2,9,ARAUCO_BKP,388
2,10,CELCO_UKP,408
2,11,CELCO_UKP,408
3,1,ARAUCO_EKP,387
3,2,ARAUCO_EKP,383
3,3,ARAUCO_EKP,383
3,7,N_ALDEA_BKP,386
3,8,ARAUCO_EKP,385
3,9,ARAUCO_EKP,385
3,10,ARAUCO_EKP,385
4,1,CELCO_UKP,408
4,2,CELCO_UKP,408
4,3,CELCO_UKP,400
4,4,ARAUCO_BKP,388
4,5,ARAUCO_BKP,388
4,6,ARAUCO_BKP,388
4,7,ARAUCO_BKP,380
4,8,ARAUCO_EKP,379
4,10,ARAUCO_BKP,342
5,1,ARAUCO_EKP,385
5,1,N_ALDEA_BKP,388
5,2,ARAUCO_EKP,385
5,2,N_ALDEA_BKP,388
5,3,ARAUCO_EKP,385
5,3,N_ALDEA_BKP,388
5,4,ARAUCO_EKP,385
5,4,N_ALDEA_BKP,388
5,5,ARAUCO_EKP,385
5,5,N_ALDEA_BKP,388
5,6,ARAUCO_EKP,385
5,6,N_ALDEA_BKP,388
5,7,ARAUCO_BKP,380
5,7,ARAUCO_EKP,385
5,8,ARAUCO_EKP,379
5,9,ARAUCO_EKP,362
5,10,ARAUCO_BKP,334
6,1,ARAUCO_EKP,383
6,6,ARAUCO_EKP,396
6,9,ARAUCO_EKP,385
6,10,ARAUCO_EKP,385
6,10,CELCO_UKP,356
6,11,CELCO_UKP,356
7,1,N_ALDEA_BKP,388
7,2,N_ALDEA_BKP,388
7,3,ARAUCO_EKP,383
7,4,ARAUCO_EKP,383
7,5,ARAUCO_EKP,383
7,6,ARAUCO_BKP,388
7,7,ARAUCO_BKP,388
7,8,ARAUCO_BKP,388
7,9,ARAUCO_BKP,388
7,10,ARAUCO_EKP,334
8,5,ARAUCO_EKP,383
8,9,ARAUCO_BKP,352
8,9,ARAUCO_EKP,364
