producto,destino,unidades
ARAUCO_BKP,DESTINO_5,2904
ARAUCO_BKP,QINGDAO,2904
ARAUCO_BKP,ULSAN,702
ARAUCO_EKP,DESTINO_5,2744
ARAUCO_EKP,DESTINO_6,910
ARAUCO_EKP,KUNSAN,910
ARAUCO_EKP,QINGDAO,2743
ARAUCO_EKP,TAICHUNG,1040
ARAUCO_EKP,ULSAN,3338
CELCO_UKP,DESTINO_6,545
CELCO_UKP,KUNSAN,545
CELCO_UKP,TAICHUNG,1091
N_ALDEA_BKP,DESTINO_5,429
N_ALDEA_BKP,QINGDAO,429
N_ALDEA_BKP,TAICHUNG,468
N_ALDEA_EKP,DESTINO_5,645
N_ALDEA_EKP,DESTINO_6,2195
N_ALDEA_EKP,KUNSAN,2195
N_ALDEA_EKP,QINGDAO,645
N_ALDEA_EKP,TAICHUNG,1950
