producto,destino,unidades
ARAUCO_BKP,DESTINO_5,4356
ARAUCO_BKP,QINGDAO,4356
ARAUCO_BKP,ULSAN,1053
ARAUCO_EKP,DESTINO_5,4116
ARAUCO_EKP,DESTINO_6,1365
ARAUCO_EKP,KUNSAN,1365
ARAUCO_EKP,QINGDAO,4114
ARAUCO_EKP,TAICHUNG,1560
ARAUCO_EKP,ULSAN,5007
CELCO_UKP,DESTINO_6,818
CELCO_UKP,KUNSAN,818
CELCO_UKP,TAICHUNG,1636
N_ALDEA_BKP,DESTINO_5,644
N_ALDEA_BKP,QINGDAO,644
N_ALDEA_BKP,TAICHUNG,702
N_ALDEA_EKP,DESTINO_5,968
N_ALDEA_EKP,DESTINO_6,3292
N_ALDEA_EKP,KUNSAN,3292
N_ALDEA_EKP,QINGDAO,968
N_ALDEA_EKP,TAICHUNG,2925
